order_id,customer_id,customer_name,country,product_category,product_name,quantity,unit_price,unit_cost,order_date
TE240027,C1350,Customer_454,Vietnam,CNC Cutting Tools,Ball Nose End Mill,92,35.0,14.0,2024-06-23
TE240028,C1058,Customer_151,Australia,CNC Cutting Tools,Reamer Φ12mm,10,40.0,16.0,2024-05-14
TE240029,C1498,Customer_257,Sweden,Hand Tools,Pruning Shears,154,12.0,4.8,2024-11-16
TE240030,C1153,Customer_431,Mexico,CNC Cutting Tools,Lathe Tool Bit,35,18.0,7.2,2024-03-19
TE240031,C1192,Customer_391,UK,CNC Cutting Tools,End Mill Holder,10,50.0,20.0,2024-11-02
TE240032,C1166,Customer_251,Germany,CNC Cutting Tools,Threading Tap M8,49,5.0,2.0,2024-05-02
TE240033,C1030,Customer_124,Uganda,CNC Cutting Tools,Indexable Insert TNMG1604,20,3.8,1.5,2024-09-05
TE240034,C1418,Customer_36,South Africa,Hand Tools,Pruning Shears,492,12.0,4.8,2024-03-05
TE240035,C1066,Customer_338,India,Hand Tools,Pruning Shears,184,12.0,4.8,2024-05-15
TE240036,C1271,Customer_447,Brazil,Hand Tools,Wooden Handle Axe,376,9.0,3.6,2024-12-19
TE240037,C1103,Customer_366,Japan,CNC Cutting Tools,Milling Cutter Set,93,300.0,120.0,2024-07-10
TE240038,C1225,Customer_461,Vietnam,CNC Cutting Tools,Indexable Insert TNMG1604,41,3.8,1.5,2024-04-25
TE240039,C1033,Customer_174,Germany,CNC Cutting Tools,End Mill Holder,39,50.0,20.0,2024-10-28
TE240040,C1113,Customer_4,USA,CNC Cutting Tools,Milling Cutter Set,17,300.0,120.0,2024-04-27
TE240041,C1035,Customer_464,Germany,CNC Cutting Tools,Threading Tap M8,19,5.0,2.0,2024-09-20
TE240042,C1122,Customer_143,Mexico,Hand Tools,Wooden Handle Axe,376,9.0,3.6,2024-03-08
TE240043,C1371,Customer_479,Uganda,CNC Cutting Tools,Lathe Tool Bit,70,18.0,7.2,2024-05-04
TE240044,C1402,Customer_243,Kenya,Hand Tools,Wooden Handle Axe,148,9.0,3.6,2024-02-19
TE240045,C1338,Customer_221,Canada,CNC Cutting Tools,Slotting Cutter,69,80.0,32.0,2024-01-28
TE240046,C1345,Customer_335,South Africa,Hand Tools,Garden Hoe,131,6.5,2.6,2024-07-25
TE240047,C1373,Customer_174,Kenya,Hand Tools,Garden Hoe,227,6.5,2.6,2024-04-08
TE240048,C1098,Customer_275,Australia,CNC Cutting Tools,Slotting Cutter,33,80.0,32.0,2024-05-22
TE240049,C1237,Customer_128,Uganda,Hand Tools,Garden Hoe,326,6.5,2.6,2024-10-08
TE240050,C1051,Customer_26,Mexico,CNC Cutting Tools,End Mill Holder,11,50.0,20.0,2024-02-17
TE240051,C1475,Customer_386,Ghana,Hand Tools,Steel Shovel,308,7.2,2.9,2024-09-05
TE240052,C1247,Customer_110,Uganda,Hand Tools,Seedling Tray,130,3.5,1.4,2024-03-25
TE240053,C1195,Customer_2,South Africa,Hand Tools,Mini Garden Trowel,332,5.0,2.0,2024-05-26
TE240054,C1217,Customer_357,Egypt,Hand Tools,Gardening Gloves,384,4.0,1.6,2024-12-04
TE240055,C1368,Customer_250,UK,CNC Cutting Tools,Ball Nose End Mill,37,35.0,14.0,2024-01-30
TE240056,C1297,Customer_377,Vietnam,Hand Tools,Watering Can,260,6.0,2.4,2024-01-30
TE240057,C1026,Customer_300,India,CNC Cutting Tools,End Mill Holder,30,50.0,20.0,2024-01-30
TE240058,C1492,Customer_261,USA,CNC Cutting Tools,Drill Bit Φ10mm,18,30.0,12.0,2024-10-31
TE240059,C1035,Customer_346,Uganda,CNC Cutting Tools,Slotting Cutter,25,80.0,32.0,2024-10-18
TE240060,C1127,Customer_297,Brazil,Hand Tools,Hoe with Long Handle,141,7.0,2.8,2024-08-02
TE240061,C1337,Customer_299,Thailand,Hand Tools,Iron Rake,233,7.5,3.0,2024-04-14
TE240062,C1343,Customer_367,Japan,CNC Cutting Tools,Ball Nose End Mill,60,35.0,14.0,2024-03-08
TE240063,C1344,Customer_331,Japan,Hand Tools,Iron Rake,484,7.5,3.0,2024-02-07
TE240064,C1005,Customer_235,Brazil,Hand Tools,Hoe with Long Handle,151,7.0,2.8,2024-02-07
TE240065,C1276,Customer_110,India,Hand Tools,Steel Shovel,278,7.2,2.9,2024-02-05
TE240066,C1451,Customer_126,Canada,CNC Cutting Tools,Drill Bit Φ10mm,66,30.0,12.0,2024-10-05
TE240067,C1361,Customer_155,Brazil,CNC Cutting Tools,Milling Cutter Set,77,300.0,120.0,2024-01-05
TE240068,C1342,Customer_419,Thailand,Hand Tools,Seedling Tray,439,3.5,1.4,2024-02-23
TE240069,C1481,Customer_450,UK,CNC Cutting Tools,Indexable Insert TNMG1604,23,3.8,1.5,2024-10-10
TE240070,C1080,Customer_140,Italy,Hand Tools,Wooden Handle Axe,467,9.0,3.6,2024-06-24
TE240071,C1105,Customer_352,Brazil,Hand Tools,Mini Garden Trowel,358,5.0,2.0,2024-09-07
TE240072,C1129,Customer_464,Cameroon,CNC Cutting Tools,Carbide End Mill Φ6mm,21,25.0,10.5,2024-11-20
TE240073,C1217,Customer_425,Italy,CNC Cutting Tools,Carbide End Mill Φ6mm,52,25.0,10.5,2024-03-07
TE240074,C1327,Customer_135,UK,Hand Tools,Garden Fork,382,6.8,2.7,2024-12-27
TE240075,C1219,Customer_288,Germany,CNC Cutting Tools,Indexable Insert TNMG1604,98,3.8,1.5,2024-03-17
TE240076,C1280,Customer_19,Ghana,Hand Tools,Hoe with Long Handle,382,7.0,2.8,2024-03-16
TE240077,C1221,Customer_66,Germany,CNC Cutting Tools,Threading Tap M8,15,5.0,2.0,2024-07-02
TE240078,C1108,Customer_350,Italy,CNC Cutting Tools,Indexable Insert TNMG1604,55,3.8,1.5,2024-10-13
TE240079,C1453,Customer_448,Australia,CNC Cutting Tools,Lathe Tool Bit,29,18.0,7.2,2024-05-01
TE240080,C1443,Customer_84,South Africa,CNC Cutting Tools,Drill Bit Φ10mm,62,30.0,12.0,2024-01-13
TE240081,C1092,Customer_378,Senegal,Hand Tools,Gardening Gloves,310,4.0,1.6,2024-12-08
TE240082,C1443,Customer_377,Kenya,Hand Tools,Mini Garden Trowel,181,5.0,2.0,2024-12-25
TE240083,C1056,Customer_196,Uganda,Hand Tools,Wheelbarrow,340,45.0,18.0,2024-04-23
TE240084,C1103,Customer_419,Senegal,CNC Cutting Tools,Threading Tap M8,49,5.0,2.0,2024-04-26
TE240085,C1115,Customer_13,Mexico,Hand Tools,Steel Mattock,268,8.5,3.4,2024-05-22
TE240086,C1443,Customer_36,Egypt,Hand Tools,Mini Garden Trowel,279,5.0,2.0,2024-11-24
TE240087,C1261,Customer_205,Mexico,Hand Tools,Wheelbarrow,374,45.0,18.0,2024-06-18
TE240088,C1481,Customer_15,USA,CNC Cutting Tools,Ball Nose End Mill,32,35.0,14.0,2024-10-24
TE240089,C1493,Customer_136,Germany,Hand Tools,Hoe with Long Handle,322,7.0,2.8,2024-06-25
TE240090,C1374,Customer_403,Japan,CNC Cutting Tools,Lathe Tool Bit,75,18.0,7.2,2024-02-29
TE240091,C1198,Customer_461,Thailand,CNC Cutting Tools,Ball Nose End Mill,15,35.0,14.0,2024-12-28
TE240092,C1224,Customer_1,Vietnam,Hand Tools,Gardening Gloves,375,4.0,1.6,2024-12-17
TE240093,C1369,Customer_482,Sweden,Hand Tools,Hand Saw,200,10.0,4.0,2024-07-05
TE240094,C1221,Customer_36,Egypt,Hand Tools,Seedling Tray,269,3.5,1.4,2024-11-15
TE240095,C1161,Customer_340,Ghana,Hand Tools,Watering Can,253,6.0,2.4,2024-09-16
TE240096,C1159,Customer_342,Australia,CNC Cutting Tools,Slotting Cutter,99,80.0,32.0,2024-05-31
TE240097,C1284,Customer_66,France,CNC Cutting Tools,Milling Cutter Set,58,300.0,120.0,2024-12-12
TE240098,C1384,Customer_463,France,CNC Cutting Tools,Lathe Tool Bit,48,18.0,7.2,2024-07-26
TE240099,C1281,Customer_427,Germany,CNC Cutting Tools,Ball Nose End Mill,36,35.0,14.0,2024-08-08
TE240100,C1403,Customer_297,Brazil,CNC Cutting Tools,Threading Tap M8,69,5.0,2.0,2024-08-14
TE240101,C1227,Customer_346,France,CNC Cutting Tools,Reamer Φ12mm,31,40.0,16.0,2024-12-03
TE240102,C1044,Customer_146,Vietnam,Hand Tools,Hand Saw,417,10.0,4.0,2024-06-20
TE240103,C1048,Customer_420,Egypt,Hand Tools,Wooden Handle Axe,444,9.0,3.6,2024-06-07
TE240104,C1116,Customer_413,France,CNC Cutting Tools,Carbide End Mill Φ6mm,15,25.0,10.5,2024-05-05
TE240105,C1244,Customer_313,Ghana,Hand Tools,Garden Hoe,333,6.5,2.6,2024-07-31
TE240106,C1454,Customer_323,Thailand,Hand Tools,Watering Can,456,6.0,2.4,2024-07-15
TE240107,C1254,Customer_205,Italy,CNC Cutting Tools,Milling Cutter Set,98,300.0,120.0,2024-01-03
TE240108,C1458,Customer_385,Uganda,Hand Tools,Seedling Tray,154,3.5,1.4,2024-08-05
TE240109,C1113,Customer_91,Kenya,Hand Tools,Watering Can,365,6.0,2.4,2024-08-25
TE240110,C1026,Customer_286,Italy,CNC Cutting Tools,Indexable Insert TNMG1604,68,3.8,1.5,2024-03-09
TE240111,C1411,Customer_238,Mexico,Hand Tools,Pruning Shears,404,12.0,4.8,2024-06-11
TE240112,C1487,Customer_387,Cameroon,CNC Cutting Tools,Lathe Tool Bit,74,18.0,7.2,2024-08-06
TE240113,C1426,Customer_465,Vietnam,Hand Tools,Seedling Tray,181,3.5,1.4,2024-08-31
TE240114,C1231,Customer_133,Sweden,Hand Tools,Wheelbarrow,426,45.0,18.0,2024-05-21
TE240115,C1393,Customer_399,Vietnam,Hand Tools,Hand Saw,222,10.0,4.0,2024-05-20
TE240116,C1226,Customer_40,Spain,Hand Tools,Wooden Handle Axe,239,9.0,3.6,2024-06-20
TE240117,C1164,Customer_458,Vietnam,Hand Tools,Steel Shovel,177,7.2,2.9,2024-04-28
TE240118,C1197,Customer_356,UK,CNC Cutting Tools,Face Mill Cutter,18,120.0,48.0,2024-07-31
TE240119,C1209,Customer_170,Vietnam,Hand Tools,Steel Mattock,131,8.5,3.4,2024-04-15
TE240120,C1427,Customer_216,Canada,CNC Cutting Tools,Lathe Tool Bit,99,18.0,7.2,2024-01-11
TE240121,C1439,Customer_451,Sweden,Hand Tools,Steel Mattock,344,8.5,3.4,2024-01-04
TE240122,C1483,Customer_181,Japan,Hand Tools,Steel Mattock,314,8.5,3.4,2024-10-02
TE240123,C1383,Customer_377,Vietnam,Hand Tools,Hoe with Long Handle,212,7.0,2.8,2024-09-06
TE240124,C1113,Customer_140,Australia,CNC Cutting Tools,Carbide End Mill Φ6mm,59,25.0,10.5,2024-06-21
TE240125,C1343,Customer_348,Kenya,Hand Tools,Watering Can,184,6.0,2.4,2024-08-27
TE240126,C1471,Customer_66,South Africa,Hand Tools,Pruning Shears,113,12.0,4.8,2024-07-20
TE240127,C1304,Customer_289,Mexico,Hand Tools,Garden Hoe,429,6.5,2.6,2024-08-07
TE240128,C1070,Customer_444,Australia,Hand Tools,Steel Pickaxe,233,8.0,3.2,2024-07-13
TE240129,C1168,Customer_109,Australia,CNC Cutting Tools,Threading Tap M8,58,5.0,2.0,2024-05-22
TE240130,C1386,Customer_488,Ghana,Hand Tools,Mini Garden Trowel,141,5.0,2.0,2024-08-28
TE240131,C1010,Customer_384,Vietnam,Hand Tools,Iron Rake,214,7.5,3.0,2024-11-28
TE240132,C1036,Customer_400,Egypt,Hand Tools,Steel Pickaxe,486,8.0,3.2,2024-01-16
TE240133,C1487,Customer_127,France,CNC Cutting Tools,Carbide End Mill Φ6mm,89,25.0,10.5,2024-03-19
TE240134,C1123,Customer_65,India,Hand Tools,Garden Hoe,388,6.5,2.6,2024-04-21
TE240135,C1239,Customer_359,Italy,Hand Tools,Iron Rake,185,7.5,3.0,2024-11-06
TE240136,C1311,Customer_494,Sweden,Hand Tools,Garden Hoe,498,6.5,2.6,2024-03-24
TE240137,C1494,Customer_160,USA,CNC Cutting Tools,Carbide End Mill Φ6mm,49,25.0,10.5,2024-10-21
TE240138,C1347,Customer_465,Egypt,Hand Tools,Steel Mattock,466,8.5,3.4,2024-04-11
TE240139,C1039,Customer_304,Spain,Hand Tools,Hand Saw,224,10.0,4.0,2024-02-22
TE240140,C1357,Customer_396,Japan,Hand Tools,Hand Saw,407,10.0,4.0,2024-03-02
TE240141,C1408,Customer_290,Nigeria,Hand Tools,Iron Rake,372,7.5,3.0,2024-08-07
TE240142,C1339,Customer_190,USA,CNC Cutting Tools,Milling Cutter Set,53,300.0,120.0,2024-01-07
TE240143,C1435,Customer_216,Kenya,Hand Tools,Garden Hoe,321,6.5,2.6,2024-07-04
TE240144,C1326,Customer_457,Ghana,Hand Tools,Watering Can,178,6.0,2.4,2024-08-10
TE240145,C1091,Customer_376,Vietnam,Hand Tools,Hand Saw,238,10.0,4.0,2024-11-11
TE240146,C1414,Customer_471,Vietnam,CNC Cutting Tools,Reamer Φ12mm,69,40.0,16.0,2024-08-11
TE240147,C1423,Customer_375,Thailand,Hand Tools,Iron Rake,225,7.5,3.0,2024-02-14
TE240148,C1143,Customer_452,Australia,CNC Cutting Tools,Reamer Φ12mm,82,40.0,16.0,2024-11-08
TE240149,C1343,Customer_195,Japan,CNC Cutting Tools,Reamer Φ12mm,51,40.0,16.0,2024-04-03
TE240150,C1250,Customer_109,Canada,CNC Cutting Tools,Ball Nose End Mill,53,35.0,14.0,2024-05-23
TE240151,C1451,Customer_306,Spain,Hand Tools,Mini Garden Trowel,384,5.0,2.0,2024-01-06
TE240152,C1265,Customer_486,France,CNC Cutting Tools,Face Mill Cutter,62,120.0,48.0,2024-09-07
TE240153,C1285,Customer_389,Italy,CNC Cutting Tools,Reamer Φ12mm,92,40.0,16.0,2024-12-30
TE240154,C1252,Customer_230,Nigeria,Hand Tools,Garden Hoe,250,6.5,2.6,2024-04-23
TE240155,C1208,Customer_355,Italy,Hand Tools,Hand Saw,397,10.0,4.0,2024-07-07
TE240156,C1243,Customer_284,Vietnam,Hand Tools,Steel Mattock,481,8.5,3.4,2024-10-08
TE240157,C1170,Customer_181,Spain,Hand Tools,Mini Garden Trowel,256,5.0,2.0,2024-05-08
TE240158,C1119,Customer_62,Spain,Hand Tools,Iron Rake,161,7.5,3.0,2024-10-01
TE240159,C1487,Customer_391,Spain,Hand Tools,Wooden Handle Axe,210,9.0,3.6,2024-09-04
TE240160,C1142,Customer_371,Thailand,Hand Tools,Gardening Gloves,368,4.0,1.6,2024-11-01
TE240161,C1145,Customer_52,Ghana,Hand Tools,Mini Garden Trowel,216,5.0,2.0,2024-07-03
TE240162,C1092,Customer_155,Germany,CNC Cutting Tools,End Mill Holder,26,50.0,20.0,2024-05-20
TE240163,C1024,Customer_499,Germany,CNC Cutting Tools,Ball Nose End Mill,99,35.0,14.0,2024-03-05
TE240164,C1327,Customer_445,Sweden,Hand Tools,Garden Hoe,106,6.5,2.6,2024-10-20
TE240165,C1146,Customer_241,India,CNC Cutting Tools,Threading Tap M8,33,5.0,2.0,2024-01-27
TE240166,C1130,Customer_482,Uganda,Hand Tools,Garden Hoe,133,6.5,2.6,2024-07-24
TE240167,C1252,Customer_38,Thailand,Hand Tools,Hand Saw,127,10.0,4.0,2024-03-18
TE240168,C1077,Customer_416,Thailand,CNC Cutting Tools,Ball Nose End Mill,20,35.0,14.0,2024-05-07
TE240169,C1061,Customer_286,Sweden,CNC Cutting Tools,Lathe Tool Bit,86,18.0,7.2,2024-11-12
TE240170,C1116,Customer_398,Vietnam,Hand Tools,Garden Fork,326,6.8,2.7,2024-06-01
TE240171,C1441,Customer_302,South Africa,Hand Tools,Mini Garden Trowel,391,5.0,2.0,2024-11-13
TE240172,C1031,Customer_313,Egypt,CNC Cutting Tools,Indexable Insert TNMG1604,36,3.8,1.5,2024-11-16
TE240173,C1109,Customer_136,Mexico,Hand Tools,Steel Shovel,222,7.2,2.9,2024-03-29
TE240174,C1283,Customer_39,UK,CNC Cutting Tools,Slotting Cutter,67,80.0,32.0,2024-12-18
TE240175,C1305,Customer_241,Japan,CNC Cutting Tools,Face Mill Cutter,46,120.0,48.0,2024-12-27
TE240176,C1145,Customer_360,Uganda,CNC Cutting Tools,Indexable Insert TNMG1604,97,3.8,1.5,2024-04-29
TE240177,C1474,Customer_136,Nigeria,Hand Tools,Hand Saw,401,10.0,4.0,2024-12-04
TE240178,C1412,Customer_479,France,CNC Cutting Tools,Indexable Insert TNMG1604,79,3.8,1.5,2024-04-25
TE240179,C1332,Customer_77,Cameroon,Hand Tools,Wheelbarrow,172,45.0,18.0,2024-02-06
TE240180,C1031,Customer_85,Nigeria,CNC Cutting Tools,Lathe Tool Bit,82,18.0,7.2,2024-05-27
TE240181,C1225,Customer_64,India,Hand Tools,Mini Garden Trowel,458,5.0,2.0,2024-07-25
TE240182,C1483,Customer_140,India,CNC Cutting Tools,Reamer Φ12mm,66,40.0,16.0,2024-02-11
TE240183,C1307,Customer_21,Cameroon,Hand Tools,Watering Can,265,6.0,2.4,2024-11-05
TE240184,C1129,Customer_14,USA,Hand Tools,Hand Saw,394,10.0,4.0,2024-10-27
TE240185,C1487,Customer_11,South Africa,Hand Tools,Hand Saw,237,10.0,4.0,2024-10-22
TE240186,C1021,Customer_391,Sweden,Hand Tools,Garden Fork,365,6.8,2.7,2024-11-29
TE240187,C1227,Customer_470,Italy,Hand Tools,Hoe with Long Handle,323,7.0,2.8,2024-11-21
TE240188,C1417,Customer_252,Egypt,Hand Tools,Garden Fork,278,6.8,2.7,2024-07-28
TE240189,C1171,Customer_165,Mexico,Hand Tools,Wheelbarrow,182,45.0,18.0,2024-06-17
TE240190,C1211,Customer_356,India,Hand Tools,Hand Saw,305,10.0,4.0,2024-10-08
TE240191,C1019,Customer_233,USA,CNC Cutting Tools,Ball Nose End Mill,51,35.0,14.0,2024-02-29
TE240192,C1497,Customer_396,Canada,Hand Tools,Pruning Shears,100,12.0,4.8,2024-12-02
TE240193,C1446,Customer_278,Australia,Hand Tools,Steel Pickaxe,196,8.0,3.2,2024-09-22
TE240194,C1186,Customer_319,Sweden,Hand Tools,Hand Saw,326,10.0,4.0,2024-01-27
TE240195,C1105,Customer_137,Vietnam,Hand Tools,Seedling Tray,247,3.5,1.4,2024-08-12
TE240196,C1451,Customer_358,India,Hand Tools,Steel Pickaxe,422,8.0,3.2,2024-11-07
TE240197,C1410,Customer_123,Spain,Hand Tools,Mini Garden Trowel,382,5.0,2.0,2024-01-08
TE240198,C1283,Customer_209,USA,Hand Tools,Wheelbarrow,158,45.0,18.0,2024-08-24
TE240199,C1485,Customer_61,Mexico,Hand Tools,Steel Shovel,355,7.2,2.9,2024-05-29
TE240200,C1261,Customer_362,Italy,CNC Cutting Tools,Reamer Φ12mm,70,40.0,16.0,2024-05-04
TE240201,C1234,Customer_283,UK,CNC Cutting Tools,Face Mill Cutter,86,120.0,48.0,2024-09-17
TE240202,C1383,Customer_451,UK,CNC Cutting Tools,Indexable Insert TNMG1604,45,3.8,1.5,2024-07-31
TE240203,C1175,Customer_479,Nigeria,CNC Cutting Tools,Ball Nose End Mill,10,35.0,14.0,2024-05-24
TE240204,C1372,Customer_153,Ghana,Hand Tools,Hoe with Long Handle,437,7.0,2.8,2024-09-07
TE240205,C1444,Customer_77,Australia,CNC Cutting Tools,Reamer Φ12mm,54,40.0,16.0,2024-06-19
TE240206,C1283,Customer_391,Vietnam,CNC Cutting Tools,Reamer Φ12mm,51,40.0,16.0,2024-04-06
TE240207,C1358,Customer_123,Thailand,CNC Cutting Tools,Face Mill Cutter,62,120.0,48.0,2024-01-23
TE240208,C1163,Customer_382,India,Hand Tools,Seedling Tray,295,3.5,1.4,2024-07-16
TE240209,C1340,Customer_406,Kenya,CNC Cutting Tools,Drill Bit Φ10mm,73,30.0,12.0,2024-01-19
TE240210,C1065,Customer_258,Egypt,CNC Cutting Tools,Threading Tap M8,22,5.0,2.0,2024-08-13
TE240211,C1052,Customer_270,Cameroon,Hand Tools,Steel Pickaxe,469,8.0,3.2,2024-03-14
TE240212,C1210,Customer_446,Mexico,Hand Tools,Steel Shovel,138,7.2,2.9,2024-08-28
TE240213,C1401,Customer_497,Italy,CNC Cutting Tools,Lathe Tool Bit,98,18.0,7.2,2024-07-22
TE240214,C1333,Customer_42,Ghana,Hand Tools,Wheelbarrow,445,45.0,18.0,2024-09-30
TE240215,C1195,Customer_489,Japan,CNC Cutting Tools,Taper Shank Drill,72,28.0,11.2,2024-10-04
TE240216,C1019,Customer_317,USA,CNC Cutting Tools,Milling Cutter Set,97,300.0,120.0,2024-05-27
TE240217,C1117,Customer_383,USA,CNC Cutting Tools,Indexable Insert TNMG1604,91,3.8,1.5,2024-12-26
TE240218,C1447,Customer_52,Australia,CNC Cutting Tools,Taper Shank Drill,48,28.0,11.2,2024-01-15
TE240219,C1024,Customer_167,Nigeria,Hand Tools,Mini Garden Trowel,283,5.0,2.0,2024-07-10
TE240220,C1221,Customer_75,Italy,Hand Tools,Steel Mattock,389,8.5,3.4,2024-12-15
TE240221,C1406,Customer_93,UK,CNC Cutting Tools,Indexable Insert TNMG1604,88,3.8,1.5,2024-07-14
TE240222,C1318,Customer_350,Italy,CNC Cutting Tools,Lathe Tool Bit,28,18.0,7.2,2024-04-28
TE240223,C1237,Customer_327,Italy,CNC Cutting Tools,Ball Nose End Mill,95,35.0,14.0,2024-01-05
TE240224,C1461,Customer_412,India,Hand Tools,Mini Garden Trowel,446,5.0,2.0,2024-10-06
TE240225,C1081,Customer_38,Australia,CNC Cutting Tools,Threading Tap M8,85,5.0,2.0,2024-06-02
TE240226,C1328,Customer_493,Australia,CNC Cutting Tools,Ball Nose End Mill,68,35.0,14.0,2024-06-03
TE240227,C1102,Customer_197,Ghana,Hand Tools,Garden Hoe,221,6.5,2.6,2024-07-14
TE240228,C1293,Customer_184,Thailand,Hand Tools,Watering Can,251,6.0,2.4,2024-01-12
TE240229,C1425,Customer_338,Canada,Hand Tools,Steel Pickaxe,389,8.0,3.2,2024-12-17
TE240230,C1399,Customer_382,South Africa,Hand Tools,Seedling Tray,410,3.5,1.4,2024-09-11
TE240231,C1427,Customer_463,Cameroon,Hand Tools,Gardening Gloves,217,4.0,1.6,2024-11-06
TE240232,C1411,Customer_181,France,CNC Cutting Tools,Face Mill Cutter,89,120.0,48.0,2024-05-08
TE240233,C1348,Customer_387,Spain,Hand Tools,Hand Saw,448,10.0,4.0,2024-03-11
TE240234,C1322,Customer_50,Cameroon,Hand Tools,Hand Saw,120,10.0,4.0,2024-06-07
TE240235,C1404,Customer_226,Germany,CNC Cutting Tools,Threading Tap M8,26,5.0,2.0,2024-02-16
TE240236,C1466,Customer_152,Japan,CNC Cutting Tools,Slotting Cutter,32,80.0,32.0,2024-04-12
TE240237,C1068,Customer_403,Vietnam,Hand Tools,Iron Rake,371,7.5,3.0,2024-09-13
TE240238,C1468,Customer_140,Ghana,CNC Cutting Tools,Ball Nose End Mill,71,35.0,14.0,2024-05-31
TE240239,C1383,Customer_446,Japan,CNC Cutting Tools,Indexable Insert TNMG1604,69,3.8,1.5,2024-02-08
TE240240,C1073,Customer_387,Egypt,CNC Cutting Tools,Milling Cutter Set,96,300.0,120.0,2024-07-22
TE240241,C1496,Customer_434,Kenya,Hand Tools,Iron Rake,146,7.5,3.0,2024-07-21
TE240242,C1008,Customer_136,Vietnam,Hand Tools,Garden Fork,288,6.8,2.7,2024-12-10
TE240243,C1384,Customer_345,Italy,Hand Tools,Steel Mattock,426,8.5,3.4,2024-07-09
TE240244,C1056,Customer_346,Italy,CNC Cutting Tools,Carbide End Mill Φ6mm,89,25.0,10.5,2024-10-14
TE240245,C1168,Customer_469,Brazil,CNC Cutting Tools,Milling Cutter Set,18,300.0,120.0,2024-11-21
TE240246,C1422,Customer_238,Cameroon,Hand Tools,Mini Garden Trowel,432,5.0,2.0,2024-07-28
TE240247,C1060,Customer_72,Germany,CNC Cutting Tools,Carbide End Mill Φ6mm,48,25.0,10.5,2024-09-09
TE240248,C1060,Customer_50,Italy,Hand Tools,Pruning Shears,169,12.0,4.8,2024-07-17
TE240249,C1233,Customer_190,Mexico,Hand Tools,Watering Can,456,6.0,2.4,2024-10-03
TE240250,C1215,Customer_301,Sweden,Hand Tools,Steel Shovel,312,7.2,2.9,2024-12-01
TE240251,C1051,Customer_427,India,Hand Tools,Steel Mattock,243,8.5,3.4,2024-01-17
TE240252,C1354,Customer_190,France,CNC Cutting Tools,Reamer Φ12mm,40,40.0,16.0,2024-07-04
TE240253,C1051,Customer_352,Canada,Hand Tools,Seedling Tray,430,3.5,1.4,2024-07-02
